file,public_url,title,h1,description,canonical_tag,canon_status
privacy.html,https://www.alliancegroups.com.au/privacy.html,"Privacy Policy | Alliance Group & AUasbestos | Brisbane, QLD",Privacy Policy,"Privacy Policy for Alliance Group Pty Ltd and AUasbestos. Details on personal information collection, use, security, and Australian Privacy Principles compliance.",https://www.alliancegroups.com.au/privacy.html,CORRECT
projects.html,https://www.alliancegroups.com.au/projects.html,Featured Projects &amp; Remediation Case Proof | Alliance Group Brisbane,,"Explore landmark architectural construction projects, commercial builds, and certified asbestos clearance case studies delivered by Alliance Group across Queensland.",https://www.alliancegroups.com.au/projects.html,CORRECT
refunds.html,https://www.alliancegroups.com.au/refunds.html,"Refund &amp; Cancellation Policy | Alliance Group &amp; AUasbestos | Brisbane, QLD",Refund &amp; Cancellation Policy,"Refund, Return, and Cancellation Policy for Alliance Group Pty Ltd and AUasbestos in compliance with Australian Consumer Law (ACL) and Google Merchant Center standards.",https://www.alliancegroups.com.au/refunds.html,CORRECT
residential-asbestos-services.html,https://www.alliancegroups.com.au/residential-asbestos-services.html,Residential Asbestos Testing &amp; Removal Brisbane | AUasbestos,Residential Asbestos Testing &amp; Removal,Safe residential asbestos testing ($195 on-site / $380 comprehensive audit) &amp; licensed removal across Brisbane &amp; QLD. Pre-renovation &amp; pre-purchase hazard checks. Free quote.,https://www.alliancegroups.com.au/residential-asbestos-services.html,CORRECT
reviews.html,https://www.alliancegroups.com.au/reviews.html,Verified Client Reviews &amp; Testimonials | Alliance Group Brisbane,,"Read authentic 5-star reviews from residential property owners, commercial facility directors, and body corporates across Brisbane and South East Queensland.",https://www.alliancegroups.com.au/reviews.html,CORRECT
risk-checker.html,https://www.alliancegroups.com.au/risk-checker.html,Building Compliance &amp; Risk Estimator | Alliance Group Brisbane,,"Instant property risk assessment and statutory compliance estimator for Queensland properties. Calculate asbestos risk, WHS permit requirements, and clearance costs in seconds.",https://www.alliancegroups.com.au/risk-checker.html,CORRECT
roof-inspection-brisbane.html,https://www.alliancegroups.com.au/roof-inspection-brisbane.html,Roof Inspection Brisbane | Condition Audits &amp; Drone Surveys | Alliance Group,Roof Inspection Brisbane,"Comprehensive roof inspections, drone thermal surveys &amp; condition reports for commercial, strata &amp; residential properties across Brisbane &amp; Queensland.",https://www.alliancegroups.com.au/roof-inspection-brisbane.html,CORRECT
roof-leak-investigation.html,https://www.alliancegroups.com.au/roof-leak-investigation.html,Roof Leak Investigation Brisbane | Diagnostic Leak Tracing | Alliance Group,Roof Leak Investigation Brisbane,"Forensic roof leak diagnostic tracing, electronic moisture testing, thermal imaging &amp; permanent leak repair for Brisbane residential, strata &amp; commercial roofs.",https://www.alliancegroups.com.au/roof-leak-investigation.html,CORRECT
roof-repairs-brisbane.html,https://www.alliancegroups.com.au/roof-repairs-brisbane.html,Roof Repairs Brisbane | Leak Diagnostics &amp; Metal/Tile Restoration | Alliance Group,Roof Repairs Brisbane,"Licensed & certified roof repairs across Brisbane. Commercial metal roofing, persistent leak tracing, valley/flashing repairs &amp; asbestos roof replacement. Free quote.",https://www.alliancegroups.com.au/roof-repairs-brisbane.html,CORRECT
roof-restoration-brisbane.html,https://www.alliancegroups.com.au/roof-restoration-brisbane.html,Roof Restoration Brisbane | Metal &amp; Tile Membrane Coatings | Alliance Group,Roof Restoration Brisbane,"Licensed & certified roof restoration across Brisbane. Tile re-pointing, metal roof re-screwing, heat-reflective membrane coatings &amp; structural repairs. Free quote.",https://www.alliancegroups.com.au/roof-restoration-brisbane.html,CORRECT
shipping.html,https://www.alliancegroups.com.au/shipping.html,Service Delivery &amp; Shipping Policy | Alliance Group &amp; AUasbestos,Service Delivery &amp; Shipping Policy,"Shipping, fulfillment, site attendance, and laboratory turnaround times for Alliance Group and AUasbestos across Queensland and Australia.",https://www.alliancegroups.com.au/shipping.html,CORRECT
terms.html,https://www.alliancegroups.com.au/terms.html,"Terms &amp; Conditions | Alliance Group &amp; AUasbestos | Brisbane, QLD",Terms &amp; Conditions,"Terms &amp; Conditions for services provided by Alliance Group Pty Ltd and AUasbestos. Outlines quotations, bookings, safety compliance, payments, and Australian Consumer Law guarantees.",https://www.alliancegroups.com.au/terms.html,CORRECT
water-ingress-investigation.html,https://www.alliancegroups.com.au/water-ingress-investigation.html,Water Ingress Investigation Brisbane | Diagnostic Leak Tracing | Alliance Group,Water Ingress Investigation Brisbane,"Forensic water ingress investigation, diagnostic flood testing, thermal imaging &amp; engineered leak rectification for Brisbane commercial &amp; strata buildings.",https://www.alliancegroups.com.au/water-ingress-investigation.html,CORRECT
compliance-shield/index.html,https://www.alliancegroups.com.au/compliance-shield/index.html,Compliance Shield™ — $395 Asbestos & Demolition Document Review | Alliance Group Queensland,,Get your asbestos & demolition compliance documents reviewed by Alliance Group,https://www.alliancegroups.com.au/compliance-shield/,MISMATCH: https://www.alliancegroups.com.au/compliance-shield/
case-studies/commercial-asbestos-roof-replacement-brisbane.html,https://www.alliancegroups.com.au/case-studies/commercial-asbestos-roof-replacement-brisbane.html,Case Study: Commercial Asbestos Roof Replacement Brisbane | Alliance Group,Commercial Asbestos Roof Replacement,"Case Study: How Alliance Group replaced 2,400m² of Super Six asbestos roofing on an active Brisbane industrial facility with zero manufacturing downtime.",https://www.alliancegroups.com.au/case-studies/commercial-asbestos-roof-replacement-brisbane.html,CORRECT
case-studies/emergency-asbestos-make-safe-industrial-facility.html,https://www.alliancegroups.com.au/case-studies/emergency-asbestos-make-safe-industrial-facility.html,Case Study: Emergency Asbestos Make-Safe Industrial Facility | Alliance Group,Emergency Asbestos Make-Safe,"Case Study: How Alliance Group executed a 24/7 priority emergency make-safe across a storm-damaged industrial distribution facility in Archerfield, Brisbane.",https://www.alliancegroups.com.au/case-studies/emergency-asbestos-make-safe-industrial-facility.html,CORRECT
case-studies/index.html,https://www.alliancegroups.com.au/case-studies/index.html,Case Studies &amp; Evidence | Alliance Building &amp; Hazmat Group,Case Studies &amp; Evidence,"Explore real commercial project evidence, asbestos roof replacements, strata water ingress rectifications, and statutory compliance audits across Queensland.",https://www.alliancegroups.com.au/case-studies/index.html,CORRECT
case-studies/multi-unit-compliance-shield-audit.html,https://www.alliancegroups.com.au/case-studies/multi-unit-compliance-shield-audit.html,Case Study: Multi-Unit Commercial Compliance Shield™ Audit | Alliance Group,Multi-Unit Compliance Shield™ Audit,"Case Study: How Alliance Group delivered a comprehensive pre-acquisition statutory compliance and asbestos audit across a 14-tenancy commercial park in Logan, QLD.",https://www.alliancegroups.com.au/case-studies/multi-unit-compliance-shield-audit.html,CORRECT
case-studies/water-ingress-rectification-strata-complex.html,https://www.alliancegroups.com.au/case-studies/water-ingress-rectification-strata-complex.html,Case Study: Strata Water Ingress Rectification Brisbane | Alliance Group,Strata Water Ingress Rectification,Case Study: How Alliance Group diagnosed and rectified complex multi-level water ingress across a 32-unit residential strata complex in South Brisbane.,https://www.alliancegroups.com.au/case-studies/water-ingress-rectification-strata-complex.html,CORRECT
knowledge/asbestos-clearance-certificate-guide.html,https://www.alliancegroups.com.au/knowledge/asbestos-clearance-certificate-guide.html,Asbestos Clearance Certificate Guide | QLD WHS Section 473 | Alliance Group,Asbestos Clearance Certificate Guide,"Statutory guide to Asbestos Clearance Certificates under QLD WHS Regulation Section 473. Who can issue, mandatory air monitoring &amp; legal re-occupancy rules.",https://www.alliancegroups.com.au/knowledge/asbestos-clearance-certificate-guide.html,CORRECT
knowledge/can-asbestos-roofing-be-repaired.html,https://www.alliancegroups.com.au/knowledge/can-asbestos-roofing-be-repaired.html,Can Asbestos Roofing Be Repaired? | Legal &amp; Technical Guide QLD | Alliance Group,Can Asbestos Roofing Be Repaired?,"Legal and technical guide on asbestos roof repairs in Queensland. Why high-pressure cleaning is illegal, limitations on repairs &amp; Colorbond replacement rules.",https://www.alliancegroups.com.au/knowledge/can-asbestos-roofing-be-repaired.html,CORRECT
knowledge/how-to-identify-asbestos.html,https://www.alliancegroups.com.au/knowledge/how-to-identify-asbestos.html,How to Identify Asbestos in Buildings | Visual &amp; Lab Guide QLD | Alliance Group,How to Identify Asbestos in Buildings,"Expert guide on identifying asbestos in Queensland buildings. Common materials, pre-1990 construction indicators &amp; NATA laboratory testing protocols.",https://www.alliancegroups.com.au/knowledge/how-to-identify-asbestos.html,CORRECT
knowledge/index.html,https://www.alliancegroups.com.au/knowledge/index.html,"Knowledge Centre | Asbestos, Roofing &amp; Building Compliance QLD | Alliance Group",Alliance Knowledge Centre,"Authoritative guides on Queensland WHS regulations, asbestos registers (s425), management plans (s429), building defect diagnostics, and roof repairs.",https://www.alliancegroups.com.au/knowledge/index.html,CORRECT
knowledge/strata-body-corporate-asbestos-guide.html,https://www.alliancegroups.com.au/knowledge/strata-body-corporate-asbestos-guide.html,Strata &amp; Body Corporate Asbestos Guide | QLD Legal Compliance | Alliance Group,Strata &amp; Body Corporate Asbestos Guide,"Complete statutory asbestos guide for Body Corporate committees &amp; strata managers in Queensland. Common property registers, contractor induction &amp; legal liability.",https://www.alliancegroups.com.au/knowledge/strata-body-corporate-asbestos-guide.html,CORRECT
knowledge/what-is-a-building-defect-inspection.html,https://www.alliancegroups.com.au/knowledge/what-is-a-building-defect-inspection.html,What is a Building Defect Inspection? | Forensic Audit Guide QLD | Alliance Group,What is a Building Defect Inspection?,"Technical guide on forensic building defect inspections in Queensland. Causation methodology, non-destructive testing, expert witness reports &amp; Australian Standards & NCC.",https://www.alliancegroups.com.au/knowledge/what-is-a-building-defect-inspection.html,CORRECT
knowledge/what-is-an-asbestos-management-plan.html,https://www.alliancegroups.com.au/knowledge/what-is-an-asbestos-management-plan.html,What is an Asbestos Management Plan? | QLD Statutory Guide (s429) | Alliance Group,What is an Asbestos Management Plan?,"Statutory guide to Asbestos Management Plans (AMP) under QLD WHS Regulation 2011 Section 429. Control procedures, 5-year reviews, and PCBU legal duties.",https://www.alliancegroups.com.au/knowledge/what-is-an-asbestos-management-plan.html,CORRECT
knowledge/what-is-an-asbestos-register.html,https://www.alliancegroups.com.au/knowledge/what-is-an-asbestos-register.html,What is an Asbestos Register? | QLD Statutory Guide (s425) | Alliance Group,What is an Asbestos Register?,"Complete guide to Asbestos Registers under QLD WHS Regulation 2011 Section 425. When is it mandatory, what must it record, and legal duties for commercial &amp; strata.",https://www.alliancegroups.com.au/knowledge/what-is-an-asbestos-register.html,CORRECT
knowledge/what-is-building-remediation.html,https://www.alliancegroups.com.au/knowledge/what-is-building-remediation.html,What is Building Remediation? | Structural &amp; Defect Rectification | Alliance Group,What is Building Remediation?,"Comprehensive guide to building remediation in Queensland. Concrete cancer repairs, waterproofing replacement, structural strengthening &amp; strata renewals.",https://www.alliancegroups.com.au/knowledge/what-is-building-remediation.html,CORRECT
knowledge/what-is-emergency-make-safe-work.html,https://www.alliancegroups.com.au/knowledge/what-is-emergency-make-safe-work.html,What is Emergency Make-Safe Work? | Structural &amp; Hazmat Protocols | Alliance Group,What is Emergency Make-Safe Work?,"Guide to emergency make-safe works in Queensland. Structural shoring, roof tarping, storm damage containment, hazmat isolation &amp; insurance reporting.",https://www.alliancegroups.com.au/knowledge/what-is-emergency-make-safe-work.html,CORRECT
knowledge/what-to-do-after-major-water-ingress.html,https://www.alliancegroups.com.au/knowledge/what-to-do-after-major-water-ingress.html,What to Do After Major Water Ingress | Step-by-Step Emergency Guide | Alliance Group,What to Do After Major Water Ingress,"Immediate step-by-step action guide following major water ingress in commercial or strata buildings. Make-safe, structural drying, mould prevention &amp; insurance.",https://www.alliancegroups.com.au/knowledge/what-to-do-after-major-water-ingress.html,CORRECT
knowledge/what-to-do-if-asbestos-is-discovered.html,https://www.alliancegroups.com.au/knowledge/what-to-do-if-asbestos-is-discovered.html,What to Do if Asbestos is Discovered | Stop-Work Protocol QLD | Alliance Group,What to Do if Asbestos is Discovered,Step-by-step stop-work action protocol if suspected asbestos is discovered during renovation or demolition in Queensland. Zone isolation &amp; testing procedures.,https://www.alliancegroups.com.au/knowledge/what-to-do-if-asbestos-is-discovered.html,CORRECT
knowledge/why-roof-leaks-keep-returning.html,https://www.alliancegroups.com.au/knowledge/why-roof-leaks-keep-returning.html,Why Roof Leaks Keep Returning | Forensic Diagnostic Guide | Alliance Group,Why Roof Leaks Keep Returning,"Technical explanation of why roof leaks keep returning after repairs. Capillary draw, wind-driven pressure, box gutter flaws &amp; why silicone fails.",https://www.alliancegroups.com.au/knowledge/why-roof-leaks-keep-returning.html,CORRECT
